url_path,views_total,views_unique
/ignite-hq/cli,1844,571
/ignite-hq/cli/pulls,407,29
/ignite-hq/cli/issues,404,58
/ignite-hq/cli/search,171,26
/ignite-hq/cli/tree/develop/ignite,107,58
/ignite-hq/cli/releases,82,47
/ignite-hq/cli/pull/2493,72,8
/ignite-hq/cli/tree/develop/docs,63,33
/ignite-hq/cli/commits/develop,49,13
/ignite-hq/cli/pull/2566,42,5
