time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-24 00:00:00+00:00,720,251,510,94
2022-08-25 00:00:00+00:00,689,242,470,91
2022-08-26 00:00:00+00:00,529,168,373,78
2022-08-27 00:00:00+00:00,330,121,133,41
2022-08-28 00:00:00+00:00,359,102,160,59
2022-08-29 00:00:00+00:00,739,241,546,113
2022-08-30 00:00:00+00:00,430,148,511,113
2022-08-31 00:00:00+00:00,875,305,685,96
2022-09-01 00:00:00+00:00,525,191,376,97
2022-09-02 00:00:00+00:00,1242,353,697,85
2022-09-03 00:00:00+00:00,567,124,157,48
2022-09-04 00:00:00+00:00,628,139,138,54
2022-09-05 00:00:00+00:00,748,193,389,95
2022-09-06 00:00:00+00:00,958,303,563,81
