time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-09 00:00:00+00:00,585,188,549,80
2022-09-10 00:00:00+00:00,407,146,119,41
2022-09-11 00:00:00+00:00,256,92,157,51
2022-09-12 00:00:00+00:00,1026,312,865,93
2022-09-13 00:00:00+00:00,561,155,327,104
2022-09-14 00:00:00+00:00,763,169,293,72
2022-09-15 00:00:00+00:00,815,158,437,81
2022-09-16 00:00:00+00:00,532,143,352,67
2022-09-17 00:00:00+00:00,574,140,404,65
2022-09-18 00:00:00+00:00,571,137,128,57
2022-09-19 00:00:00+00:00,608,158,429,89
2022-09-20 00:00:00+00:00,725,158,427,109
2022-09-21 00:00:00+00:00,878,160,341,69
2022-09-22 00:00:00+00:00,902,152,511,108
