time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-11 00:00:00+00:00,800,127,644,94
2022-08-12 00:00:00+00:00,1082,146,712,88
2022-08-13 00:00:00+00:00,537,107,243,55
2022-08-14 00:00:00+00:00,436,98,267,46
2022-08-15 00:00:00+00:00,743,130,391,86
2022-08-16 00:00:00+00:00,898,146,365,105
2022-08-17 00:00:00+00:00,911,229,512,103
2022-08-18 00:00:00+00:00,1118,249,708,97
2022-08-19 00:00:00+00:00,840,189,485,90
2022-08-20 00:00:00+00:00,526,128,254,66
2022-08-21 00:00:00+00:00,291,113,181,46
2022-08-22 00:00:00+00:00,928,320,895,123
2022-08-23 00:00:00+00:00,695,212,613,110
2022-08-24 00:00:00+00:00,695,246,506,92
