time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-29 00:00:00+00:00,739,241,546,113
2022-08-30 00:00:00+00:00,430,148,511,113
2022-08-31 00:00:00+00:00,875,305,685,96
2022-09-01 00:00:00+00:00,525,191,376,97
2022-09-02 00:00:00+00:00,1242,353,697,85
2022-09-03 00:00:00+00:00,567,124,157,48
2022-09-04 00:00:00+00:00,628,139,138,54
2022-09-05 00:00:00+00:00,748,193,389,95
2022-09-06 00:00:00+00:00,990,311,571,87
2022-09-07 00:00:00+00:00,932,317,592,101
2022-09-08 00:00:00+00:00,640,233,515,87
2022-09-09 00:00:00+00:00,585,188,549,80
2022-09-10 00:00:00+00:00,407,146,119,41
2022-09-11 00:00:00+00:00,232,87,138,47
