time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-07 00:00:00+00:00,686,131,230,50
2022-08-08 00:00:00+00:00,702,174,901,102
2022-08-09 00:00:00+00:00,969,180,1083,98
2022-08-10 00:00:00+00:00,619,182,558,98
2022-08-11 00:00:00+00:00,800,127,644,94
2022-08-12 00:00:00+00:00,1082,146,712,88
2022-08-13 00:00:00+00:00,537,107,243,55
2022-08-14 00:00:00+00:00,436,98,267,46
2022-08-15 00:00:00+00:00,743,130,391,86
2022-08-16 00:00:00+00:00,898,146,365,105
2022-08-17 00:00:00+00:00,911,229,512,103
2022-08-18 00:00:00+00:00,1118,249,708,97
2022-08-19 00:00:00+00:00,840,189,485,90
2022-08-20 00:00:00+00:00,499,127,245,61
