time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-21 00:00:00+00:00,593,150,646,99
2022-07-22 00:00:00+00:00,486,113,546,91
2022-07-23 00:00:00+00:00,400,115,311,53
2022-07-24 00:00:00+00:00,596,130,316,76
2022-07-25 00:00:00+00:00,614,148,807,109
2022-07-26 00:00:00+00:00,668,122,706,120
2022-07-27 00:00:00+00:00,444,113,704,173
2022-07-28 00:00:00+00:00,495,108,933,133
2022-07-29 00:00:00+00:00,629,120,1125,140
2022-07-30 00:00:00+00:00,342,96,285,70
2022-07-31 00:00:00+00:00,343,98,350,78
2022-08-01 00:00:00+00:00,426,135,600,126
2022-08-02 00:00:00+00:00,459,165,450,96
2022-08-03 00:00:00+00:00,608,151,502,110
