time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-03 00:00:00+00:00,567,124,157,48
2022-09-04 00:00:00+00:00,628,139,138,54
2022-09-05 00:00:00+00:00,748,193,389,95
2022-09-06 00:00:00+00:00,990,311,571,87
2022-09-07 00:00:00+00:00,932,317,592,101
2022-09-08 00:00:00+00:00,640,233,515,87
2022-09-09 00:00:00+00:00,585,188,549,80
2022-09-10 00:00:00+00:00,407,146,119,41
2022-09-11 00:00:00+00:00,256,92,157,51
2022-09-12 00:00:00+00:00,1026,312,865,93
2022-09-13 00:00:00+00:00,561,155,327,104
2022-09-14 00:00:00+00:00,763,169,293,72
2022-09-15 00:00:00+00:00,815,158,437,81
2022-09-16 00:00:00+00:00,507,142,349,65
