time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-20 00:00:00+00:00,526,128,254,66
2022-08-21 00:00:00+00:00,291,113,181,46
2022-08-22 00:00:00+00:00,928,320,895,123
2022-08-23 00:00:00+00:00,695,212,613,110
2022-08-24 00:00:00+00:00,720,251,510,94
2022-08-25 00:00:00+00:00,689,242,470,91
2022-08-26 00:00:00+00:00,529,168,373,78
2022-08-27 00:00:00+00:00,330,121,133,41
2022-08-28 00:00:00+00:00,359,102,160,59
2022-08-29 00:00:00+00:00,739,241,546,113
2022-08-30 00:00:00+00:00,430,148,511,113
2022-08-31 00:00:00+00:00,875,305,685,96
2022-09-01 00:00:00+00:00,525,191,376,97
2022-09-02 00:00:00+00:00,1204,352,692,83
