time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-25 00:00:00+00:00,614,148,807,109
2022-07-26 00:00:00+00:00,668,122,706,120
2022-07-27 00:00:00+00:00,444,113,704,173
2022-07-28 00:00:00+00:00,495,108,933,133
2022-07-29 00:00:00+00:00,629,120,1125,140
2022-07-30 00:00:00+00:00,342,96,285,70
2022-07-31 00:00:00+00:00,343,98,350,78
2022-08-01 00:00:00+00:00,426,135,600,126
2022-08-02 00:00:00+00:00,459,165,450,96
2022-08-03 00:00:00+00:00,672,159,561,118
2022-08-04 00:00:00+00:00,800,149,635,77
2022-08-05 00:00:00+00:00,601,149,442,73
2022-08-06 00:00:00+00:00,534,124,215,47
2022-08-07 00:00:00+00:00,633,128,226,46
