time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-15 00:00:00+00:00,743,130,391,86
2022-08-16 00:00:00+00:00,898,146,365,105
2022-08-17 00:00:00+00:00,911,229,512,103
2022-08-18 00:00:00+00:00,1118,249,708,97
2022-08-19 00:00:00+00:00,840,189,485,90
2022-08-20 00:00:00+00:00,526,128,254,66
2022-08-21 00:00:00+00:00,291,113,181,46
2022-08-22 00:00:00+00:00,928,320,895,123
2022-08-23 00:00:00+00:00,695,212,613,110
2022-08-24 00:00:00+00:00,720,251,510,94
2022-08-25 00:00:00+00:00,689,242,470,91
2022-08-26 00:00:00+00:00,529,168,373,78
2022-08-27 00:00:00+00:00,330,121,133,41
2022-08-28 00:00:00+00:00,328,99,155,56
