time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-12 00:00:00+00:00,1026,312,865,93
2022-09-13 00:00:00+00:00,561,155,327,104
2022-09-14 00:00:00+00:00,763,169,293,72
2022-09-15 00:00:00+00:00,815,158,437,81
2022-09-16 00:00:00+00:00,532,143,352,67
2022-09-17 00:00:00+00:00,574,140,404,65
2022-09-18 00:00:00+00:00,571,137,128,57
2022-09-19 00:00:00+00:00,608,158,429,89
2022-09-20 00:00:00+00:00,725,158,427,109
2022-09-21 00:00:00+00:00,878,160,341,69
2022-09-22 00:00:00+00:00,961,158,523,112
2022-09-23 00:00:00+00:00,1259,145,575,86
2022-09-24 00:00:00+00:00,688,134,108,52
2022-09-25 00:00:00+00:00,571,126,100,47
