url_path,views_total,views_unique
/ignite/cli,1762,654
/ignite/cli/issues,513,73
/ignite/cli/pulls,423,26
/ignite/cli/search,237,35
/ignite/cli/tree/develop/ignite,143,63
/ignite/cli/pull/2643,84,5
/ignite/cli/tree/develop/docs,78,55
/ignite/cli/releases/tag/v0.23.0,65,50
/ignite/cli/tree/develop/scripts,65,17
/ignite/cli/releases,57,37
