time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-03 00:00:00+00:00,672,159,561,118
2022-08-04 00:00:00+00:00,800,149,635,77
2022-08-05 00:00:00+00:00,601,149,442,73
2022-08-06 00:00:00+00:00,534,124,215,47
2022-08-07 00:00:00+00:00,686,131,230,50
2022-08-08 00:00:00+00:00,702,174,901,102
2022-08-09 00:00:00+00:00,969,180,1083,98
2022-08-10 00:00:00+00:00,619,182,558,98
2022-08-11 00:00:00+00:00,800,127,644,94
2022-08-12 00:00:00+00:00,1082,146,712,88
2022-08-13 00:00:00+00:00,537,107,243,55
2022-08-14 00:00:00+00:00,436,98,267,46
2022-08-15 00:00:00+00:00,743,130,391,86
2022-08-16 00:00:00+00:00,840,138,351,103
