time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-09 00:00:00+00:00,414,138,331,61
2022-07-10 00:00:00+00:00,354,118,235,58
2022-07-11 00:00:00+00:00,371,124,595,104
2022-07-12 00:00:00+00:00,905,164,593,96
2022-07-13 00:00:00+00:00,423,127,655,106
2022-07-14 00:00:00+00:00,365,124,351,90
2022-07-15 00:00:00+00:00,491,140,359,73
2022-07-16 00:00:00+00:00,507,135,272,61
2022-07-17 00:00:00+00:00,533,130,510,61
2022-07-18 00:00:00+00:00,468,143,513,103
2022-07-19 00:00:00+00:00,411,134,706,107
2022-07-20 00:00:00+00:00,570,159,735,105
2022-07-21 00:00:00+00:00,593,150,646,99
2022-07-22 00:00:00+00:00,454,111,543,90
